* * * * * * * * * * * * * * * * * * * *

Below is a selection from the Seoul weather dataset from:

Cho et al., 2020
https://www.kaggle.com/datasets/smokingkrils/temperature-forecast-project-using-ml

The dataset below was modified from the Kaggle data set, by
1) retaining only the rows for weather station 1
2) removing rows with missing data
3) removing the weather station column
4) splitting the Date column into DayOfYear and Year columns.

* * * * * * * * * * * * * * * * * * * *

DayOfYear,Year,Present_Tmax,Present_Tmin,LDAPS_RHmin,LDAPS_RHmax,LDAPS_Tmax_lapse,LDAPS_Tmin_lapse,LDAPS_WS,LDAPS_LH,LDAPS_CC1,LDAPS_CC2,LDAPS_CC3,LDAPS_CC4,LDAPS_PPT1,LDAPS_PPT2,LDAPS_PPT3,LDAPS_PPT4,lat,lon,DEM,Slope,Solar radiation,Next_Tmax,Next_Tmin
201,2013,27.1,22.6,82.0736,96.8643,25.5534,23.8147,12.3614,37.854,0.69938,0.720927,0.67201,0.519501,0.00973528,1.24156,0.334992,0,37.6046,126.991,212.335,2.785,5780.61,25.6,22.9
202,2013,25.2,23,90.0909,98.4577,25.9942,23.4905,12.3769,34.377,0.836129,0.949387,0.651592,0.721352,9.53748,15.5812,0.0816944,0.83043,37.6046,126.991,212.335,2.785,5763.89,26.8,22.2
203,2013,26.2,22.3,93.7187,98.7362,24.7148,23.8067,13.3839,24.0864,0.818817,0.925857,0.566395,0.597515,0.115703,4.07056,0.123219,0.000689888,37.6046,126.991,212.335,2.785,5746.56,23.8,22.7
204,2013,23.7,22.8,72.3482,99.4617,26.104,21.9999,15.6101,68.7544,0.746192,0.480966,0.140292,0.279046,2.73908,0.161583,0,0,37.6046,126.991,212.335,2.785,5728.65,25.7,20.1
205,2013,25,20.5,62.974,95.6108,26.8457,21.4343,9.61096,78.318,0.259831,0.196464,0.0322118,0.145287,0,0,0,0,37.6046,126.991,212.335,2.785,5710.66,27.7,20.1
206,2013,27.2,20.1,56.3639,97.0976,29.0794,22.4771,7.19842,81.0269,0.101721,0.16376,0.0372972,0.0395855,0,0,0,0,37.6046,126.991,212.335,2.785,5691.5,29.1,20.6
207,2013,28.4,20.7,47.475,87.876,29.6093,22.398,6.36294,83.8065,0.0499493,0.071079,0.158515,0.269595,0,0,0,0,37.6046,126.991,212.335,2.785,5671.78,29.2,20.6
208,2013,28.8,20.7,81.3873,98.3591,26.544,22.6043,10.2118,56.7213,0.942927,0.768524,0.596807,0.875083,2.59538,1.92757,0.00231257,0.307688,37.6046,126.991,212.335,2.785,5651.47,24.1,21.2
209,2013,24,21.3,69.284,99.7506,29.1609,23.5391,10.5179,68.4974,0.593034,0.250715,0.125888,0.0621686,6.32388,0.0185083,0,0,37.6046,126.991,212.335,2.785,5630.51,26.8,21.5
210,2013,26,22.2,56.522,94.8132,29.8935,22.7069,7.65566,80.5444,0.275901,0.35543,0.472536,0.652408,0,0,0.104918,0.201049,37.6046,126.991,212.335,2.785,5608.97,27.9,20.9
211,2013,26.5,21.1,59.2069,99.002,28.1832,23.2412,9.30398,95.559,0.67664,0.281055,0.129873,0.0238909,2.14109,7.35E-05,0,0,37.6046,126.991,212.335,2.785,5586.85,26.9,22.1
212,2013,25.9,22.1,53.1667,88.1996,30.3619,22.5985,5.24004,75.9872,0.145537,0.0613484,0.230126,0.122,0,0,0,0,37.6046,126.991,212.335,2.785,5564.09,30.3,21.7
8,2013,29.7,21.8,77.8308,93.9647,27.2344,23.8458,7.67356,51.1071,0.491418,0.731356,0.481545,0.182709,0,2.823,0.412658,0,37.6046,126.991,212.335,2.785,5540.74,26.8,22.3
39,2013,26.3,22.6,70.7725,95.9303,27.698,25.0259,10.4412,46.3905,0.436193,0.329219,0.351168,0.248357,0.382113,0,0,0,37.6046,126.991,212.335,2.785,5516.81,29.5,23.8
67,2013,28.9,23.8,66.1088,95.9463,30.4373,23.9346,8.43135,72.5149,0.461566,0.437859,0.090524,0.132842,0.0463024,0,0,0,37.6046,126.991,212.335,2.785,5492.26,28.9,23.2
98,2013,28.1,23.3,73.936,95.3308,29.3345,25.1716,8.74426,48.3536,0.182259,0.262002,0.255488,0.235032,0,0,0.0157436,0,37.6046,126.991,212.335,2.785,5467.11,27.7,23.1
128,2013,26.5,23.4,89.754,98.2513,27.9263,24.8096,8.5395,37.453,0.235814,0.454941,0.528845,0.174651,0,0.340908,0.143538,0,37.6046,126.991,212.335,2.785,5441.39,24.8,20.5
159,2013,24.8,20.6,53.6774,95.8342,31.0443,23.93,7.51837,89.135,0.528153,0.26963,0.138351,0.0576998,0.00496811,0,0,0,37.6046,126.991,212.335,2.785,5415.06,29.9,22.9
189,2013,29.3,23.2,65.0905,95.792,31.2113,26.1377,11.7971,63.3784,0.338788,0.326767,0.138894,0.0466752,0,0,0,0,37.6046,126.991,212.335,2.785,5388.14,30.3,24.4
251,2013,28.4,25.1,51.7419,97.0058,31.3043,23.7177,10.0959,102.972,0.642683,0.333628,9.43E-05,0,11.4065,0,0,0,37.6046,126.991,212.335,2.785,5332.53,27.6,23.6
312,2013,30.7,22.4,51.6073,95.3468,32.1203,25.6017,7.40583,82.9071,0.235752,0.0809062,0,0.00285738,0,0,0,0,37.6046,126.991,212.335,2.785,5275.07,30.6,23.9
342,2013,30,24.4,47.1807,91.5368,31.3614,25.5606,8.25128,83.7448,0.141075,0.146577,0.0090232,0,0,0,0,0,37.6046,126.991,212.335,2.785,5245.2,30.8,23.6
225,2013,30.3,23.7,54.8234,91.052,29.7941,24.9861,6.78335,67.2394,0.12273,0.1719,0.159338,0.0262077,0,0,0,0,37.6046,126.991,212.335,2.785,5214.74,30.9,23.3
226,2013,29.7,23.4,64.6253,92.9106,30.0677,25.3678,8.46208,68.9163,0.276423,0.281878,0.0994392,0.15154,0,0.00317114,0,0,37.6046,126.991,212.335,2.785,5183.7,29.5,23.5
227,2013,28.8,23.6,57.0188,94.9381,30.4763,25.4827,8.74092,74.9601,0.492442,0.345959,0.0645436,0.0424235,0.0243473,0.0687699,0,0,37.6046,126.991,212.335,2.785,5152.12,29.1,23.5
228,2013,28.7,23.9,59.8597,94.3649,29.6929,25.1801,11.8481,84.1581,0.444038,0.294079,0.0884827,0.0597333,0.155442,0,0,0,37.6046,126.991,212.335,2.785,5119.92,29.3,24.3
229,2013,28.5,24.3,69.5582,98.316,29.189,25.1802,11.2994,63.3851,0.276558,0.553861,0.348863,0.560229,0,0,0.00551762,1.68786,37.6046,126.991,212.335,2.785,5087.2,29.6,23.2
230,2013,28.8,24.4,57.4113,97.0264,30.2696,23.982,7.53891,85.3127,0.454223,0.252555,0.0730348,0.0179913,15.3478,0,0.00166766,0,37.6046,126.991,212.335,2.785,5053.92,30.3,22.8
231,2013,29.4,23.2,41.6512,86.4298,31.2317,22.4565,5.68057,82.3988,0.110591,0.00681432,0.177076,0.00599568,0,0,0,0,37.6046,126.991,212.335,2.785,5020.1,30.1,21.4
232,2013,29.3,21.7,47.2418,80.4495,31.9184,23.7908,7.61014,81.8911,0.11291,0.278579,0.107095,0.123724,0,0,0,0,37.6046,126.991,212.335,2.785,4985.76,30.8,22.1
233,2013,29.8,22.2,51.2472,77.7074,32.0984,24.9495,7.16697,75.5297,0.148447,0.234425,0.103112,0.572716,0,0,0,0,37.6046,126.991,212.335,2.785,4950.87,30.4,24
234,2013,30,24,76.9046,94.8573,27.5818,23.622,5.25817,52.3849,0.898431,0.795597,0.608311,0.0712368,1.43779,4.26195,0.306635,0,37.6046,126.991,212.335,2.785,4915.48,26,21.1
235,2013,25.8,21.3,43.8689,95.1268,29.8475,21.6136,6.83492,82.3289,0.144627,0.0226633,0.0370343,0.00260417,0,0,0,0,37.6046,126.991,212.335,2.785,4879.56,29.1,20.1
236,2013,28.9,20.2,44.1358,82.9874,30.0844,21.0643,5.58165,80.7556,0.0860616,0.0304924,0.114798,0.0152494,0,0,0,0,37.6046,126.991,212.335,2.785,4843.14,29.6,19.8
237,2013,29.4,20.4,44.832,80.2712,29.5959,22.043,7.27426,85.1555,0.0299345,8.1E-05,9.8E-05,0,0,0,0,0,37.6046,126.991,212.335,2.785,4806.72,29.6,21.3
238,2013,28.7,21.4,56.2454,85.8465,27.8281,20.7158,7.05959,77.443,0,0.0155697,0.0750927,0.0111171,0,0,0,0,37.6046,126.991,212.335,2.785,4769.28,27.3,20.2
239,2013,26.3,20.6,63.8643,87.8827,27.0197,21.9161,7.06704,72.6873,0.162304,0.154011,0.278989,0.00061891,0,0,2.08854,0,37.6046,126.991,212.335,2.785,4731.35,28.3,20.2
240,2013,27.7,20.3,68.1432,96.9378,25.9776,22.9666,12.9887,43.6295,0.216913,0.776509,0.70523,0.244654,0,0.16543,7.02986,0,37.6046,126.991,212.335,2.785,4692.95,24.2,20.8
241,2013,24,21.3,55.516,97.2594,26.2491,21.5743,8.86192,74.211,0.183441,0.11156,0.056156,0.267312,0,0,0,0,37.6046,126.991,212.335,2.785,4654.09,25.6,19.5
242,2013,25.2,19.9,45.5127,92.0102,26.3721,19.6755,6.54005,77.8118,0.114627,0.125173,0.111727,0.14933,0,0,0,0,37.6046,126.991,212.335,2.785,4614.76,26.6,18.6
181,2014,26.7,18.8,42.4058,90.3813,29.7552,20.7907,6.87818,70.1403,0.0273755,0.0698783,0.0545774,0.0840128,0,0,0,0,37.6046,126.991,212.335,2.785,5992.9,28.6,18.6
7,2014,28.3,18.8,60.5379,90.4017,27.4913,21.8945,8.01467,52.3698,0.276388,0.275323,0.444252,0.620934,0,0,0,0.22866,37.6046,126.991,212.335,2.785,5987.72,27.7,19.5
38,2014,27.3,20.1,79.544,96.9196,21.5609,19.6122,9.76749,76.5683,0.766992,0.623945,0.737301,0.377346,0.837315,0.188556,0.537671,0.0106003,37.6046,126.991,212.335,2.785,5981.98,21.6,18.4
66,2014,21.2,18.4,41.0149,85.5165,29.2542,20.5598,5.99061,92.6196,0.493611,0.25607,0.2733,0.107045,0,0,0,0,37.6046,126.991,212.335,2.785,5975.68,30.3,19.3
97,2014,29.1,19.3,50.7912,79.583,28.4576,21.6818,8.12417,103.562,0.0252391,0.12374,0.471431,0.31362,0,0,0.049174,0,37.6046,126.991,212.335,2.785,5968.81,26.7,20.7
127,2014,26.1,20.9,38.0137,93.607,29.0691,21.0869,6.68606,88.1374,0.551385,0.594852,0.191734,0.0972358,0,0.338809,0,0,37.6046,126.991,212.335,2.785,5961.38,27.4,20.8
158,2014,27.4,20.9,33.2512,82.6551,30.787,20.74,5.99808,86.7451,0.349717,0.117671,0.00163349,0.0154191,0,0,0,0,37.6046,126.991,212.335,2.785,5953.38,31.2,19.5
188,2014,30.8,19.6,65.5149,96.1661,27.4436,21.8524,6.80347,56.7737,0.147556,0.583452,0.139032,0.199617,0,0.184466,0.0139,0,37.6046,126.991,212.335,2.785,5944.78,27.5,21
219,2014,25.7,21.4,56.0984,92.473,32.2092,23.4691,6.75681,94.5059,0.535732,0.29708,0.364871,0.589142,0,0.000190405,14.0464,0.820366,37.6046,126.991,212.335,2.785,5935.62,30.9,22.5
250,2014,28.6,22.6,33.6495,92.9854,31.9164,23.371,9.15492,155.24,0.505941,0.0767234,0.0234469,0.0226025,0.332665,0,0,0,37.6046,126.991,212.335,2.785,5925.88,31.4,22.4
280,2014,30.4,23.2,40.5088,95.8151,29.3673,21.0805,9.84621,87.304,0.0752422,0.0294277,0,0.0667258,0,0,0,0,37.6046,126.991,212.335,2.785,5915.58,30.5,19.9
311,2014,30.1,19.9,80.1724,96.648,25.0322,21.8167,9.46093,35.2305,0.0597088,0.374419,0.588851,0.522416,0,0,0,0,37.6046,126.991,212.335,2.785,5904.71,27,19.9
341,2014,26.3,20,63.4773,94.3573,26.3343,20.7976,9.66197,62.1285,0.809454,0.498704,0.0881926,0.0564619,0.0265857,0,0,0,37.6046,126.991,212.335,2.785,5893.27,27.4,20.9
194,2014,26.5,21,55.4408,96.2267,27.3217,21.4313,9.55017,66.6632,0.321916,0.157692,2.6E-05,0.0082931,0,0,0,0,37.6046,126.991,212.335,2.785,5881.22,28.3,20
195,2014,27.6,20,60.7025,93.5951,27.5982,21.7989,7.2969,54.9506,0.221179,0.49566,0.284912,0.138538,0,0.248188,0,0,37.6046,126.991,212.335,2.785,5868.6,29.5,20.7
196,2014,29.2,20.8,58.6995,89.7594,26.7307,20.7472,8.70151,62.6134,0.141173,0.203441,0.273626,0.123163,0,0,0,0,37.6046,126.991,212.335,2.785,5855.4,28.4,20.5
197,2014,28,20.7,58.3505,95.9486,28.0463,21.1882,8.84864,56.4582,0.121651,0.218546,0.314957,0.262319,0,0,0,0,37.6046,126.991,212.335,2.785,5841.62,26.1,20.8
198,2014,25.1,20.9,92.1743,99.4326,24.017,21.8112,8.56871,31.2111,0.671669,0.857578,0.376219,0.372798,1.05821,5.84471,0.180203,0.0229651,37.6046,126.991,212.335,2.785,5827.26,27.8,19.6
199,2014,27.8,19.8,57.1133,99.2706,30.0413,22.3147,8.99031,62.6102,0.304095,0.212441,0.0598703,0.119936,0.00031667,0,0,0,37.6046,126.991,212.335,2.785,5812.29,28.1,21.6
200,2014,26.7,21.6,59.1156,97.8245,29.7254,22.8533,8.29648,66.0791,0.158656,0.191253,0.138772,0.177277,0.00225369,0,0.0135903,0,37.6046,126.991,212.335,2.785,5796.75,29.8,21.6
201,2014,29.1,21.6,53.9738,93.6986,29.3031,22.4748,8.46153,56.589,0.0450991,0.215372,0.0822722,0.110785,0,0,0,0,37.6046,126.991,212.335,2.785,5780.61,29,21.6
202,2014,27.8,21.7,77.3353,98.4496,25.6985,22.6827,11.0025,32.241,0.227849,0.604883,0.68634,0.76387,0,0,0.00989483,0.686482,37.6046,126.991,212.335,2.785,5763.89,25.4,22
203,2014,24.9,22,61.4601,98.7769,27.2954,22.6432,12.0507,97.5132,0.945318,0.61636,0.118237,0.274447,2.69869,0.499999,0,0,37.6046,126.991,212.335,2.785,5746.56,23.2,18.4
204,2014,22.5,20.2,49.2924,97.96,27.9603,21.0187,5.26853,83.5053,0.734592,0.524417,0.162369,0.464102,0.785645,0.207764,0.092518,0.00894149,37.6046,126.991,212.335,2.785,5728.65,22.5,16.5
205,2014,21.7,16.5,77.1384,97.3321,29.2287,22.1799,11.4141,104.676,0.688907,0.511211,0.50898,0.68632,1.8081,0,3.79716,1.37229,37.6046,126.991,212.335,2.785,5710.66,31,19.9
206,2014,30.3,20.1,66.935,96.8349,25.5365,21.3057,20.8542,107.479,0.623848,0.378388,0.219811,0.00259703,0.335933,0.241699,0,0,37.6046,126.991,212.335,2.785,5691.5,24.4,17.9
207,2014,24.1,17.9,47.043,97.1861,28.8603,18.7321,6.23979,104.26,0.0878455,0.0253586,0.0147966,0.0362749,0,0,0,0,37.6046,126.991,212.335,2.785,5671.78,27.6,18.5
208,2014,26.7,18.5,49.2364,90.2801,29.5973,20.9106,6.02809,94.6894,0.0105839,0.0173289,0.220443,0.203288,0,0,0,0,37.6046,126.991,212.335,2.785,5651.47,28.6,19.6
209,2014,27.9,19.7,57.3233,98.4109,26.826,20.8522,7.20603,98.0731,0.865221,0.471345,0.234828,0.0614752,0.265694,0.0498268,0,0,37.6046,126.991,212.335,2.785,5630.51,27.8,20.1
210,2014,26.6,20.2,64.5171,86.998,29.1438,22.0865,6.24019,73.2724,0.070536,0.186335,0.179979,0.0103809,0,0,0,0,37.6046,126.991,212.335,2.785,5608.97,30.2,21.8
211,2014,29.3,21.9,54.6365,85.4873,30.9439,24.5473,6.50647,94.927,0.316518,0.297677,0.223457,0.205032,0.14007,0.0242699,0,0,37.6046,126.991,212.335,2.785,5586.85,31.1,22.7
212,2014,30.7,23,47.4366,87.7733,32.7696,24.3207,6.67862,114.161,0.323172,0.216399,0.238153,0.296065,0.0170073,0,0,0,37.6046,126.991,212.335,2.785,5564.09,32.3,22.6
8,2014,32.2,22.9,50.1108,85.483,33.015,25.4387,13.5892,140.053,0.343719,0.286979,0.32973,0.474259,0.0525768,0,0,0.336459,37.6046,126.991,212.335,2.785,5540.74,32.4,25.7
39,2014,32.2,26,60.6664,92.7165,28.8918,23.4593,14.6929,115.239,0.673663,0.443942,0.74355,0.73598,1.07357,0.0165576,1.10838,0.0835232,37.6046,126.991,212.335,2.785,5516.81,26.9,21.6
67,2014,26.9,21.7,84.6145,96.6191,26.2776,23.2532,5.86042,54.7264,0.54789,0.399901,0.498402,0.24327,0.361859,0.00443928,0.574811,0.0216892,37.6046,126.991,212.335,2.785,5492.26,26.6,22.2
98,2014,25.6,22.2,58.731,98.6505,28.9687,23.2197,8.74365,111.404,0.309681,0.0880061,0.079318,0.117145,0,0,0,0,37.6046,126.991,212.335,2.785,5467.11,25.9,21.9
128,2014,25.5,21.9,82.7629,97.115,24.9292,22.1167,4.77333,34.6255,0.306375,0.640601,0.711674,0.73943,0,0.0130818,0.0999302,0.0739505,37.6046,126.991,212.335,2.785,5441.39,23.1,20
159,2014,22.8,20.3,61.9834,98.2284,26.4994,21.0344,5.65845,77.7786,0.655144,0.567612,0.51397,0.16141,0.00439656,0.127559,0.398209,0,37.6046,126.991,212.335,2.785,5415.06,24.8,20.2
189,2014,24.4,20.3,41.4716,93.0611,29.9516,20.1613,8.37249,134.273,0.0155479,0,0.18208,0.000409031,0.0026767,0,0,0,37.6046,126.991,212.335,2.785,5388.14,27.8,19.5
220,2014,26.9,19.6,38.7523,73.9338,29.2819,20.3444,12.9552,123.612,0.0026345,0.0816398,0.179359,0.407059,0,0,0,0,37.6046,126.991,212.335,2.785,5360.64,28.1,19.8
251,2014,27.6,19.9,60.0451,91.6853,26.8945,20.5317,8.71483,68.0255,0.294185,0.393912,0.484505,0.376739,0,0,0.015003,0.333866,37.6046,126.991,212.335,2.785,5332.53,25.1,17.1
281,2014,24.4,17.6,61.0394,97.2457,26.0128,17.6601,7.76579,92.6677,0.0620419,0.00176532,0.0215187,0.14692,0.00166766,0,0,0,37.6046,126.991,212.335,2.785,5304.41,25.6,16.5
312,2014,25.5,17,56.2455,98.0032,27.8774,20.7781,7.74477,91.6361,0.247495,0.0812291,0.00876422,0.0514044,0,0,0,0,37.6046,126.991,212.335,2.785,5275.07,27.5,19.2
342,2014,27.1,19.3,70.9696,94.7051,24.7278,21.2783,4.64416,34.7671,0.24419,0.607644,0.605416,0.645781,0,0,0.00195312,0,37.6046,126.991,212.335,2.785,5245.2,24,19.4
225,2014,23.6,20,73.3261,96.5828,23.109,19.4276,4.3875,48.9274,0.636515,0.688504,0.485799,0.530906,0.425399,0.00516851,0.00707983,0,37.6046,126.991,212.335,2.785,5214.74,21.1,18.2
226,2014,20.6,18.2,61.6519,93.9237,26.8598,19.5059,5.69157,77.7636,0.306004,0.239713,0.257081,0.0745347,0,0.000836913,0.234512,0.00166112,37.6046,126.991,212.335,2.785,5183.7,26.2,18.3
227,2014,25.9,18.5,57.1693,94.2494,27.2691,21.1878,5.56308,70.4633,0.101454,0.112466,0.421967,0.121177,0,0.000384528,0.176447,0,37.6046,126.991,212.335,2.785,5152.12,28.3,20
228,2014,26.8,20.2,73.4576,97.9828,23.591,20.5607,4.34866,29.2174,0.474557,0.778956,0.734591,0.62778,0.0115415,0.524152,0.66174,0,37.6046,126.991,212.335,2.785,5119.92,23.7,20.3
229,2014,23.6,20.6,76.2643,93.5443,22.73,19.321,8.66445,76.9985,0.62746,0.655719,0.665881,0.87942,0.227687,0.618039,0.240937,4.26562,37.6046,126.991,212.335,2.785,5087.2,20.9,17.8
230,2014,20.4,17.9,80.6646,99.4912,23.5733,19.522,6.91112,49.5436,0.916523,0.840977,0.451432,0.297644,2.2103,3.70236,0.0281217,0,37.6046,126.991,212.335,2.785,5053.92,22.2,18
231,2014,21.9,18,66.1098,96.7361,26.1908,20.2829,4.45326,70.7201,0.387771,0.366049,0.368139,0.514313,0.0202142,0.0075096,0.0195888,0.000489613,37.6046,126.991,212.335,2.785,5020.1,25.7,19.7
232,2014,24.5,19.9,74.6447,98.3338,23.3033,20.3059,8.89617,46.5815,0.620727,0.883207,0.696178,0.534066,0.0359893,9.41324,9.57372,1.02047,37.6046,126.991,212.335,2.785,4985.76,22.1,18.9
233,2014,22,18.9,67.6274,99.1984,25.6492,20.1819,8.16477,63.3215,0.443577,0.315899,0.192056,0.203635,0,0.0107169,0.0440891,0,37.6046,126.991,212.335,2.785,4950.87,25.4,19.4
234,2014,25.1,19.5,75.7977,98.4966,25.3282,21.5117,7.16192,42.3836,0.310384,0.697961,0.360609,0.0855859,0,9.61E-05,0,0,37.6046,126.991,212.335,2.785,4915.48,26.3,20.5
235,2014,25.8,20.5,51.5058,92.4633,27.1642,19.9683,4.8862,75.6705,0.100169,0.237387,0.345751,0.509164,0,0,0,0,37.6046,126.991,212.335,2.785,4879.56,27.9,19.1
236,2014,26.7,19.5,64.562,91.4435,24.64,22.4976,8.55445,79.646,0.473829,0.419795,0.536665,0.680868,0,0.000226193,0.410421,0.740828,37.6046,126.991,212.335,2.785,4843.14,25.5,21.2
237,2014,25.2,21.3,63.4995,85.2444,26.976,21.6662,7.49779,93.0227,0.238518,0.225467,0.185712,0.292289,0,0,0,0.177606,37.6046,126.991,212.335,2.785,4806.72,27.2,18.8
238,2014,25.7,19,59.8768,81.2314,26.1646,19.512,6.3444,88.4214,0.0998661,0.163154,0.441426,0.265193,0,0,0.00498173,0,37.6046,126.991,212.335,2.785,4769.28,25.5,18.6
239,2014,25.1,18.7,56.9783,78.1236,26.3323,19.7713,6.95062,82.1097,0.0462131,0.0641231,0.189931,0.103127,0,0,0.0407084,0,37.6046,126.991,212.335,2.785,4731.35,28.3,17.5
240,2014,26.6,17.7,51.0967,87.785,26.8682,19.7453,5.71274,81.8813,0.038213,0.0416302,0.233209,0.38082,0,0,0.00200181,0.345138,37.6046,126.991,212.335,2.785,4692.95,27.9,18.8
241,2014,26.7,19,50.4277,86.8725,26.1264,19.6197,7.13822,109.251,0.0773391,0.00265422,0.157207,0.238596,0,0,0.0112808,0.00023574,37.6046,126.991,212.335,2.785,4654.09,27.4,18.4
242,2014,26.7,18.5,47.9518,87.2538,25.5938,18.7495,6.30418,93.001,0.11427,0.254935,0.156618,0.101194,0,0,0,0,37.6046,126.991,212.335,2.785,4614.76,25.4,18.3
181,2015,24.6,18.6,54.0482,98.9371,23.8893,18.7549,12.0407,102.583,0.506996,0.168827,0.0198094,0.140599,0.249823,0.0537813,0,0,37.6046,126.991,212.335,2.785,5992.9,25.5,17.8
7,2015,24.8,17.9,33.3995,96.9525,26.0448,18.8438,10.2854,78.4193,0.11971,0.31682,0.0255627,1.66E-05,0,0.799314,0.0143086,0,37.6046,126.991,212.335,2.785,5987.72,26.5,17.4
38,2015,25.4,17.6,37.1845,95.7608,25.7907,18.0774,9.72097,80.0057,0.0102716,0,0.0363273,0.00106812,0,0,0,0,37.6046,126.991,212.335,2.785,5981.98,25.5,16.4
66,2015,23.8,16.7,46.3902,85.2473,25.8732,17.157,5.89361,77.0627,0.068987,0.0111255,0.39665,0.275363,0,0,0.758154,0.0942264,37.6046,126.991,212.335,2.785,5975.68,27.2,15.9
97,2015,26.1,16.1,40.3372,80.9495,27.3171,18.9542,7.78583,76.5394,0.267611,0.161784,0.0644674,0.124365,0,0,0.000995248,0,37.6046,126.991,212.335,2.785,5968.81,25.9,17.6
